province,name,zip_code,area_code
"吉林省","永吉县",132100,0432
"吉林省","江源区",134700,0439
"吉林省","汪清县",133200,0433
"吉林省","洮北区",137000,0436
"吉林省","洮南市",137100,0436
"吉林省","浑江区",134300,0439
"吉林省","珲春市",133300,0433
"吉林省","磐石市",132300,0432
"吉林省","绿园区",130000,0431
"吉林省","舒兰市",132600,0432
"吉林省","船营区",132000,0432
"吉林省","蛟河市",132500,0432
"吉林省","西安区",136200,0437
"吉林省","辉南县",135100,0435
"吉林省","通化县",134100,0435
"吉林省","通榆县",137200,0436
"吉林省","铁东区",136000,0434
"吉林省","铁西区",136000,0434
"吉林省","镇赉县",137300,0436
"吉林省","长岭县",131500,0438
"吉林省","长白朝鲜族自治县",134400,0439
"吉林省","集安市",134200,0435
"吉林省","靖宇县",135200,0439
"吉林省","龙井市",133400,0433
"吉林省","龙山区",136200,0437
"吉林省","龙潭区",132000,0432
"四川省","万源市",636300,0818
"四川省","三台县",621100,0816
"四川省","东兴区",641100,0832
"四川省","东区",617000,0812
"四川省","东坡区",620000,028
"四川省","中江县",618100,0838
"四川省","丹巴县",626300,0836
"四川省","丹棱县",620200,028
"四川省","乐至县",641500,028
"四川省","九寨沟县",623400,0837
"四川省","九龙县",626200,0836
"四川省","五通桥区",614800,0833
"四川省","井研县",613100,0833
"四川省","什邡市",618400,0838
"四川省","仁和区",617000,0812
"四川省","仁寿县",620500,028
"四川省","仪陇县",637600,0817
"四川省","会东县",615200,0834
"四川省","会理市",615100,0834
"四川省","兴文县",644400,0831
"四川省","冕宁县",615600,0834
"四川省","利州区",628000,0839
"四川省","前锋区",638000,0826
"四川省","剑阁县",628300,0839
"四川省","北川羌族自治县",622700,0816
"四川省","华蓥市",638600,0826
"四川省","南江县",636600,0827
"四川省","南溪区",644100,0831
"四川省","南部县",637300,0817
"四川省","双流区",610200,028
"四川省","叙州区",644600,0831
"四川省","叙永县",646400,0830
"四川省","古蔺县",646500,0830
"四川省","合江县",646200,0830
"四川省","名山区",625100,0835
"四川省","喜德县",616700,0834
"四川省","嘉陵区",637900,0817
"四川省","壤塘县",624300,0837
"四川省","大安区",643000,0813
"四川省","大竹县",635100,0818
"四川省","大英县",629300,0825
"四川省","大邑县",611300,028
"四川省","天全县",625500,0835
"四川省","夹江县",614100,0833
"四川省","威远县",642400,0832
"四川省","宁南县",615400,0834
"四川省","安居区",629000,0825
"四川省","安岳县",642300,028
"四川省","安州区",622600,0816
"四川省","宝兴县",625700,0835
"四川省","宣汉县",636100,0818
"四川省","富顺县",643200,0813
"四川省","射洪市",629200,0825
"四川省","小金县",624200,0837
"四川省","屏山县",645300,0831
"四川省","岳池县",638300,0826
"四川省","峨眉山市",614200,0833
"四川省","峨边彝族自治县",614300,0833
"四川省","崇州市",611200,028
"四川省","巴塘县",627600,0836
"四川省","巴州区",636000,0827
"四川省","市中区",641000,0832
"四川省","市中区",614000,0833
"四川省","布拖县",616300,0834
"四川省","平昌县",636400,0827
"四川省","平武县",622500,0816
"四川省","乡城县",627800,0836
"四川省","广安区",638000,0826
"四川省","广汉市",618300,0838
"四川省","康定市",626000,0836
"四川省","开江县",636200,0818
"四川省","彭山区",620800,028
"四川省","彭州市",611900,028
"四川省","得荣县",627900,0836
"四川省","德昌县",615500,0834
"四川省","德格县",627200,0836
"四川省","恩阳区",636000,0827
"四川省","成华区",610000,028
"四川省","新津区",611400,028
"四川省","新都区",610500,028
"四川省","新龙县",626800,0836
"四川省","旌阳区",618000,0838
"四川省","旺苍县",628200,0839
"四川省","昭化区",628000,0839
"四川省","昭觉县",616100,0834
"四川省","普格县",615300,0834
"四川省","朝天区",628000,0839
"四川省","木里藏族自治县",615800,0834
"四川省","松潘县",623300,0837
"四川省","梓潼县",622100,0816
"四川省","武侯区",610000,028
"四川省","武胜县",638400,0826
"四川省","汉源县",625300,0835
"四川省","江安县",644200,0831
"四川省","江油市",621700,0816
"四川省","江阳区",646000,0830
"四川省","汶川县",623000,0837
"四川省","沐川县",614500,0833
"四川省","沙湾区",614900,0833
"四川省","沿滩区",643000,0813
"四川省","泸县",646100,0830
"四川省","泸定县",626100,0836
"四川省","洪雅县",620300,028
"四川省","涪城区",621000,0816
"四川省","渠县",635200,0818
"四川省","温江区",611100,028
"四川省","游仙区",621000,0816
"四川省","炉霍县",626500,0836
"四川省","犍为县",614400,0833
"四川省","珙县",644500,0831
"四川省","理县",623100,0837
"四川省","理塘县",627500,0836
"四川省","甘孜县",626700,0836
"四川省","甘洛县",616800,0834
"四川省","白玉县",627100,0836
"四川省","盐亭县",621600,0816
"四川省","盐源县",615700,0834
"四川省","盐边县",617100,0812
"四川省","石棉县",625400,0835
"四川省","石渠县",627300,0836
"四川省","稻城县",627700,0836
"四川省","筠连县",645200,0831
"四川省","简阳市",641400,028
"四川省","米易县",617200,0812
"四川省","红原县",624400,0837
"四川省","纳溪区",646300,0830
"四川省","绵竹市",618200,0838
"四川省","罗江区",618500,0838
"四川省","美姑县",616400,0834
"四川省","翠屏区",644000,0831
"四川省","自流井区",643000,0813
"四川省","船山区",629000,0825
"四川省","色达县",626600,0836
"四川省","芦山县",625600,0835
"四川省","苍溪县",628400,0839
"四川省","若尔盖县",624500,0837
"四川省","茂县",623200,0837
"四川省","荣县",643100,0813
"四川省","荥经县",625200,0835
"四川省","营山县",637700,0817
"四川省","蒲江县",611600,028
"四川省","蓬安县",637800,0817
"四川省","蓬溪县",629100,0825
"四川省","西充县",637200,0817
"四川省","西区",617000,0812
"四川省","西昌市",615000,0834
"四川省","贡井区",643100,0813
"四川省","资中县",641200,0832
"四川省","越西县",616600,0834
"四川省","达川区",635700,0818
"四川省","通川区",635000,0818
"四川省","通江县",636700,0827
"四川省","道孚县",626400,0836
"四川省","邛崃市",611500,028
"四川省","邻水县",638500,0826
"四川省","郫都区",611700,028
"四川省","都江堰市",611800,028
"四川省","金口河区",614700,0833
"四川省","金堂县",610400,028
"四川省","金川县",624100,0837
"四川省","金牛区",610000,028
"四川省","金阳县",616200,0834
"四川省","锦江区",610000,028
"四川省","长宁县",644300,0831
"四川省","阆中市",637400,0817
"四川省","阿坝县",624600,0837
"四川省","隆昌市",642100,0832
"四川省","雁江区",641300,028
"四川省","雅江县",627400,0836
"四川省","雨城区",625000,0835
"四川省","雷波县",616500,0834
"四川省","青川县",628100,0839
"四川省","青白江区",610300,028
"四川省","青神县",620400,028
"四川省","青羊区",610000,028
"四川省","顺庆区",637500,0817
"四川省","马尔康市",624000,0837
"四川省","马边彝族自治县",614600,0833
"四川省","高县",645100,0831
"四川省","高坪区",637100,0817
"四川省","黑水县",623500,0837
"四川省","龙泉驿区",610100,028
"四川省","龙马潭区",646600,0830
"天津市","东丽区",300000,022
"天津市","北辰区",300000,022
"天津市","南开区",300000,022
"天津市","和平区",300000,022
"天津市","宁河区",301500,022
"天津市","宝坻区",301800,022
"天津市","武清区",301700,022
"天津市","河东区",300000,022
"天津市","河北区",300000,022
"天津市","河西区",300000,022
"天津市","津南区",300000,022
"天津市","滨海新区",300000,022
"天津市","红桥区",300000,022
"天津市","蓟州区",301900,022
"天津市","西青区",300000,022
"天津市","静海区",301600,022
"宁夏回族自治区","中宁县",755100,0955
"宁夏回族自治区","兴庆区",750000,0951
"宁夏回族自治区","利通区",751100,0953
"宁夏回族自治区","原州区",756000,0954
"宁夏回族自治区","同心县",751300,0953
"宁夏回族自治区","大武口区",753000,0952
"宁夏回族自治区","平罗县",753400,0952
"宁夏回族自治区","彭阳县",756500,0954
"宁夏回族自治区","惠农区",753200,0952
"宁夏回族自治区","永宁县",750100,0951
"宁夏回族自治区","沙坡头区",755000,0955
"宁夏回族自治区","泾源县",756400,0954
"宁夏回族自治区","海原县",755200,0955
"宁夏回族自治区","灵武市",750400,0951
"宁夏回族自治区","盐池县",751500,0953
"宁夏回族自治区","红寺堡区",751900,0953
"宁夏回族自治区","西吉县",756200,0954
"宁夏回族自治区","西夏区",750000,0951
"宁夏回族自治区","贺兰县",750200,0951
"宁夏回族自治区","金凤区",750000,0951
"宁夏回族自治区","隆德县",756300,0954
"宁夏回族自治区","青铜峡市",751600,0953
"安徽省","东至县",247200,0566
"安徽省","临泉县",236400,0558
"安徽省","义安区",244100,0562
"安徽省","五河县",233300,0552
"安徽省","休宁县",245400,0559
"安徽省","全椒县",239500,0550
"安徽省","八公山区",232000,0554
"安徽省","凤台县",232100,0554
"安徽省","凤阳县",233100,0550
"安徽省","利辛县",236700,0558
"安徽省","包河区",230000,0551
"安徽省","南谯区",239000,0550
"安徽省","南陵县",241300,0553
"安徽省","博望区",243100,0555
"安徽省","叶集区",237400,0564
"安徽省","含山县",238100,0555
"安徽省","和县",238200,0555
"安徽省","固镇县",233700,0552
"安徽省","埇桥区",234100,0557
"安徽省","大观区",246000,0556
"安徽省","大通区",232000,0554
"安徽省","天长市",239300,0550
"安徽省","太和县",236600,0558
"安徽省","太湖县",246400,0556
"安徽省","宁国市",242300,0563
"安徽省","定远县",233200,0550
"安徽省","宜秀区",246000,0556
"安徽省","宣州区",242000,0563
"安徽省","宿松县",246500,0556
"安徽省","寿县",232200,0554
"安徽省","屯溪区",245000,0559
"安徽省","岳西县",246600,0556
"安徽省","巢湖市",238000,0551
"安徽省","广德市",242200,0563
"安徽省","庐江县",231500,0551
"安徽省","庐阳区",230000,0551
"安徽省","弋江区",241000,0553
"安徽省","当涂县",243100,0555
"安徽省","徽州区",245900,0559
"安徽省","怀宁县",246100,0556
"安徽省","怀远县",233400,0552
"安徽省","旌德县",242600,0563
"安徽省","无为市",238300,0553
"安徽省","明光市",239400,0550
"安徽省","望江县",246200,0556
